id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1542752802073616384,1542752802073616384,2022-07-01 11:41:45 IST,2022-07-01,11:41:45,+0530,139418789,w66n,Nawaf ⚡️,,"Regardless of what happened to $lunc , let us accuse the idea of ​​relying on  algorithmic Dollar and massive #lunc selling  in what caused the collapse of that project in the  past! So now, Do you think new $Luna is born dead? . .  #cryptocurrecy  #Bitcoin  @terra_money  #Solana",en,"[{'screen_name': 'terra_money', 'name': 'terra 🌍 powered by luna 🌕', 'id': '1022028994772910086'}]",[],[],0,0,1,"['lunc', 'cryptocurrecy', 'bitcoin', 'solana']","['lunc', 'luna']",https://twitter.com/w66n/status/1542752802073616384,False,,0,,,,,,,,[],,,,
1542750075268497409,1542750075268497409,2022-07-01 11:30:55 IST,2022-07-01,11:30:55,+0530,1462254455961780227,ibcdao,IBC DAO,,I'm dead. #Bitcoin is down bad    https://t.co/L73G2awX2w  #BearMarketApes  https://t.co/PyycVPiTvj,en,[],['https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/87079715147692608999806607216135073697858708246143443185687690875688382890004'],['https://pbs.twimg.com/media/FWjyzOqUYAEahP0.jpg'],0,2,2,"['bitcoin', 'bearmarketapes']",[],https://twitter.com/IBCDAO/status/1542750075268497409,False,,1,https://pbs.twimg.com/media/FWjyzOqUYAEahP0.jpg,,,,,,,[],,,,
1542745342726361088,1542745342726361088,2022-07-01 11:12:07 IST,2022-07-01,11:12:07,+0530,1251249987230609409,marzellmoney,Marzell Money ⚡️,,#Crypto is dead!!!! ☠️  $PYPL / PayPal down 78%  $NTFLX Netflix is down 74% YTD  $Meta Facebook is down 51% YTD  $AMZN Amazon is down 37% YTD  $APPL is down 24% YTD  $BTC / #Bitcoin  is down 60% YTD  ……..🤔,en,[],[],[],9,2,10,"['crypto', 'bitcoin']","['pypl', 'ntflx', 'meta', 'amzn', 'appl', 'btc']",https://twitter.com/MarzellMoney/status/1542745342726361088,False,,0,,,,,,,,[],,,,
1542734190679994368,1542734190679994368,2022-07-01 10:27:48 IST,2022-07-01,10:27:48,+0530,1272492655071555586,chahalv_,Chahal,,To some people #bitcoin is either dead or a bubble.   📉 - dead 📈 - a bubble,en,[],[],[],2,1,4,['bitcoin'],[],https://twitter.com/ChahalV_/status/1542734190679994368,False,,0,,,,,,,,[],,,,
1542733684687904773,1542683578970083329,2022-07-01 10:25:47 IST,2022-07-01,10:25:47,+0530,928560287237619712,charafofficial,Charaf,,@CryptoWhale #Bitcoin is dead.,en,[],[],[],0,0,0,['bitcoin'],[],https://twitter.com/Charafofficial/status/1542733684687904773,False,,0,,,,,,,,"[{'screen_name': 'CryptoWhale', 'name': 'CryptoWhale', 'id': '234638601'}]",,,,
1542731950804320257,1542523432516177921,2022-07-01 10:18:54 IST,2022-07-01,10:18:54,+0530,477766277,jayster2424,Jamie Little,,"@SKhazars @JohnKandy9 @RippleXrpie I'm sure people that got into Bitcoin when it was worth nothing are ""normal people"" also. If an iso20020 coin is going to zero then then all crypto is dead!",en,[],[],[],0,0,0,[],[],https://twitter.com/jayster2424/status/1542731950804320257,False,,0,,,,,,,,"[{'screen_name': 'SKhazars', 'name': 'Crypto_Imps', 'id': '1362295473231470593'}, {'screen_name': 'JohnKandy9', 'name': 'John K', 'id': '1370183750781444098'}, {'screen_name': 'RippleXrpie', 'name': 'JackTheRippler ©️', 'id': '930453075457921029'}]",,,,
1542728663350644737,1542725737936867328,2022-07-01 10:05:50 IST,2022-07-01,10:05:50,+0530,1367424429320368134,sargeantdee,Sargeant D,,@itsmebutterz @RetiredDadof4 @JesseOlson Bitcoin is dead,en,[],[],[],0,0,0,[],[],https://twitter.com/SargeantDee/status/1542728663350644737,False,,0,,,,,,,,"[{'screen_name': 'itsmebutterz', 'name': 'butterz.btc.eth.link', 'id': '944649491361161216'}, {'screen_name': 'RetiredDadof4', 'name': 'Tom', 'id': '1270469686124142594'}, {'screen_name': 'JesseOlson', 'name': 'Jesse Olson', 'id': '31346465'}]",,,,
1542728444223430656,1542724749880467456,2022-07-01 10:04:58 IST,2022-07-01,10:04:58,+0530,1392652820554260480,richardagers1,livingadream29x,,@natbrunell Unstoppable 💯 everyone will say #bitcoin is dead after 🤣,en,[],[],[],1,0,1,['bitcoin'],[],https://twitter.com/Richardagers1/status/1542728444223430656,False,,0,,,,,,,,"[{'screen_name': 'natbrunell', 'name': 'Natalie Brunell', 'id': '543483223'}]",,,,
1542725625697517569,1542724749880467456,2022-07-01 09:53:46 IST,2022-07-01,09:53:46,+0530,405294503,tonysats,Anthony Elia,,@natbrunell I heard Bitcoin is dead,en,[],[],[],1,0,1,[],[],https://twitter.com/tonysats/status/1542725625697517569,False,,0,,,,,,,,"[{'screen_name': 'natbrunell', 'name': 'Natalie Brunell', 'id': '543483223'}]",,,,
1542720590683176961,1542720590683176961,2022-07-01 09:33:45 IST,2022-07-01,09:33:45,+0530,1535215985523064832,row4type,row4type,,"#Bitcoin is not dead, and if it is, then it will rise from the dead. 💪",en,[],[],[],0,0,0,['bitcoin'],[],https://twitter.com/row4type/status/1542720590683176961,False,,0,,,,,,,,[],,,,
